"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0010","general","text","Name the musical theatre song from these lyrics:

Nothing with kings, nothing with crowns;
Bring on the lovers, liars and clowns!","","","","","","Comedy Tonight","","""Comedy Tonight"" is from A Funny Thing Happened on the Way to the Forum.","","","text","song_title","lyric_excerpt","a_funny_thing_happened_on_the_way_to_the_forum","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0011","general","text","Name the musical theatre song from these lyrics:

Fluttering up the stairway,
Shuttering up the windows,
Cluttering up the bedroom,
Buttering up the master...","","","","","","Everybody Ought To Have A Maid","","""Everybody Ought To Have A Maid"" is from A Funny Thing Happened on the Way to the Forum.","","","text","song_title","lyric_excerpt","a_funny_thing_happened_on_the_way_to_the_forum","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0012","general","text","Name the musical theatre song from these lyrics:

And the shooting should be pleasant
If the weather's not too rough.
Happy birthday, it's your present.
You haven't been getting out nearly enough.","","","","","","A Weekend In The Country","","""A Weekend In The Country"" is from A Little Night Music.","","","text","song_title","lyric_excerpt","a_little_night_music","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0013","general","text","Name the musical theatre song from these lyrics:

At the villa of the Baron De Signac,
Where I spent a somewhat infamous year,","","","","","","Liaisons","","""Liaisons"" is from A Little Night Music.","","","text","song_title","lyric_excerpt","a_little_night_music","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0014","general","text","Name the musical theatre song from these lyrics:

Let me get my hat and my knife!","","","","","","You Must Meet My Wife","","""You Must Meet My Wife"" is from A Little Night Music.","","","text","song_title","lyric_excerpt","a_little_night_music","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0015","general","text","Name the musical theatre song from these lyrics:

Just when I'd stopped opening doors,
Finally knowing the one that I wanted was yours,","","","","","","Send In The Clowns","","""Send In The Clowns"" is from A Little Night Music.","","","text","song_title","lyric_excerpt","a_little_night_music","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0016","general","text","Name the musical theatre song from these lyrics:

It's a very short road
From the pinch and the punch
To the paunch and the pouch
And the pension.","","","","","","The Miller's Son","The Millers Son","""The Miller's Son"" is from A Little Night Music.","","","text","song_title","lyric_excerpt","a_little_night_music","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0017","general","text","Name the musical theatre song from these lyrics:

But when I'm way up here, it's crystal clear","","","","","","A Whole New World","","""A Whole New World"" is from Aladdin.","","","text","song_title","lyric_excerpt","aladdin","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0018","general","text","Name the musical theatre song from these lyrics:

Life is your restaurant
And I'm your maitre d'","","","","","","Friend Like Me","","""Friend Like Me"" is from Aladdin.","","","text","song_title","lyric_excerpt","aladdin","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0019","general","text","Name the musical theatre song from these lyrics:

Heart, don't fail me now.
Courage, don't desert me.","","","","","","Journey to the Past","","""Journey to the Past"" is from Anastasia.","","","text","song_title","lyric_excerpt","anastasia","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0020","general","text","Name the musical theatre song from these lyrics:

Dancing bears,
Painted wings,
Things I almost remember,","","","","","","Once Upon a December","","""Once Upon a December"" is from Anastasia.","","","text","song_title","lyric_excerpt","anastasia","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0021","general","text","Name the musical theatre song from these lyrics:

Instead of kisses
We get kicked!","","","","","","It's the Hard Knock Life","Its the Hard Knock Life","""It's the Hard Knock Life"" is from Annie.","","","text","song_title","lyric_excerpt","annie","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0022","general","text","Name the musical theatre song from these lyrics:

Betcha they're young
Betcha they're smart","","","","","","Maybe","","""Maybe"" is from Annie.","","","text","song_title","lyric_excerpt","annie","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0023","general","text","Name the musical theatre song from these lyrics:

The city's bright
As a penny arcade
It blinks, it tilts, it rings","","","","","","NYC","","""NYC"" is from Annie.","","","text","song_title","lyric_excerpt","annie","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0024","general","text","Name the musical theatre song from these lyrics:

When I'm stuck with a day
That's gray, and lonely","","","","","","Tomorrow","","""Tomorrow"" is from Annie.","","","text","song_title","lyric_excerpt","annie","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0025","general","text","Name the musical theatre song from these lyrics:

I can get a sparrow
With a bow and arrow.","","","","","","Anything You Can Do","","""Anything You Can Do"" is from Annie Get Your Gun.","","","text","song_title","lyric_excerpt","annie_get_your_gun","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0026","general","text","Name the musical theatre song from these lyrics:

Behind the hill
There's a busy little still
Where your Pappy's workin' in the moonlight","","","","","","Moonshine Lullaby","","""Moonshine Lullaby"" is from Annie Get Your Gun.","","","text","song_title","lyric_excerpt","annie_get_your_gun","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0027","general","text","Name the musical theatre song from these lyrics:

Traveling through the country is so thrilling
Standing out in front on opening nights","","","","","","There's No Business Like Show Business","Theres No Business Like Show Business","""There's No Business Like Show Business"" is from Annie Get Your Gun.","","","text","song_title","lyric_excerpt","annie_get_your_gun","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0028","general","text","Name the musical theatre song from these lyrics:

But a man never trifles
With gals who carry rifles","","","","","","You Can't Get a Man With a Gun","You Cant Get a Man With a Gun","""You Can't Get a Man With a Gun"" is from Annie Get Your Gun.","","","text","song_title","lyric_excerpt","annie_get_your_gun","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0029","general","text","Name the musical theatre song from these lyrics:

Times have changed,
And we've often rewound the clock,","","","","","","Anything Goes","","""Anything Goes"" is from Anything Goes.","","","text","song_title","lyric_excerpt","anything_goes","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0030","general","text","Name the musical theatre song from these lyrics:

Come on you scamps, get up you sinners!
You're all too full of expensive dinners.","","","","","","Blow, Gabriel, Blow","Blow Gabriel Blow","""Blow, Gabriel, Blow"" is from Anything Goes.","","","text","song_title","lyric_excerpt","anything_goes","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0031","general","text","Name the musical theatre song from these lyrics:

Mere alcohol doesn't thrill me at all","","","","","","I Get a Kick Out of You","","""I Get a Kick Out of You"" is from Anything Goes.","","","text","song_title","lyric_excerpt","anything_goes","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0032","general","text","Name the musical theatre song from these lyrics:

But I got a notion
I'll second the motion","","","","","","You're the Top","Youre the Top","""You're the Top"" is from Anything Goes.","","","text","song_title","lyric_excerpt","anything_goes","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0033","general","text","Name the musical theatre song from these lyrics:

The delivery boy's on Wall Street,
And the the usherette's a rock star","","","","","","Another National Anthem","","""Another National Anthem"" is from Assassins.","","","text","song_title","lyric_excerpt","assassins","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0034","general","text","Name the musical theatre song from these lyrics:

In the U.S.A.
You can work your way
To the head of the line!""","","","","","","Ballad of Czolgosz","","""Ballad of Czolgosz"" is from Assassins.","","","text","song_title","lyric_excerpt","assassins","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0035","general","text","Name the musical theatre song from these lyrics:

Hey, pal- feelin' blue?
Don't know what to do?","","","","","","Everybody's Got the Right","Everybodys Got the Right","""Everybody's Got the Right"" is from Assassins.","","","text","song_title","lyric_excerpt","assassins","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0036","general","text","Name the musical theatre song from these lyrics:

I am nothing,
You are wind and devil and God","","","","","","Unworthy of Your Love","","""Unworthy of Your Love"" is from Assassins.","","","text","song_title","lyric_excerpt","assassins","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0037","general","text","Name the musical theatre song from these lyrics:

Look around and you will find
No one's really colour blind.","","","","","","Everyone's A Little Bit Racist","Everyones A Little Bit Racist","""Everyone's A Little Bit Racist"" is from Avenue Q.","","","text","song_title","lyric_excerpt","avenue_q","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0038","general","text","Name the musical theatre song from these lyrics:

You can count on me
To always be
Beside you every day","","","","","","If You Were Gay","","""If You Were Gay"" is from Avenue Q.","","","text","song_title","lyric_excerpt","avenue_q","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0039","general","text","Name the musical theatre song from these lyrics:

I guess if someone doesn't love you back it isn't such a crime,","","","","","","There's a Fine, Fine Line","Theres a Fine Fine Line","""There's a Fine, Fine Line"" is from Avenue Q.","","","text","song_title","lyric_excerpt","avenue_q","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0040","general","text","Name the musical theatre song from these lyrics:

I wanna know that I can find inside me anyone I need
I wanna be Donna McKechnie, Donna Summer, Donna Reed","","","","","","I Want It All","","""I Want It All"" is from Baby.","","","text","song_title","lyric_excerpt","baby","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0041","general","text","Name the musical theatre song from these lyrics:

And all these things I feel and more
My mother's mother felt and hers before","","","","","","Story Goes On","","""Story Goes On"" is from Baby.","","","text","song_title","lyric_excerpt","baby","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0042","general","text","Name the musical theatre song from these lyrics:

Your sense of mission, my sense of duty
Your disposition my inner beauty","","","","","","What Could Be Better","","""What Could Be Better"" is from Baby.","","","text","song_title","lyric_excerpt","baby","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0043","general","text","Name the musical theatre song from these lyrics:

Oh women of earth, wind and flame
Born under changin' skies","","","","","","Prologue","","""Prologue"" is from Ballad Lines.","","","text","song_title","lyric_excerpt","ballad_lines","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0044","general","text","Name the musical theatre song from these lyrics:

I've moved on
This is the happiest home
Of all the homes I can remember","","","","","","Secondhand Shame","","""Secondhand Shame"" is from Ballad Lines.","","","text","song_title","lyric_excerpt","ballad_lines","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0045","general","text","Name the musical theatre song from these lyrics:

Up out of your seat
Down off of the stand
Step out to the sweet beat the bugle plays","","","","","","Come Follow The Band","","""Come Follow The Band"" is from Barnum.","","","text","song_title","lyric_excerpt","barnum","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0046","general","text","Name the musical theatre song from these lyrics:

No quiet browns and grays,
I'll take my days instead
And fill them till they overflow
With rose and cherry red!","","","","","","The Colors Of My Life","","""The Colors Of My Life"" is from Barnum.","","","text","song_title","lyric_excerpt","barnum","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0047","general","text","Name the musical theatre song from these lyrics:

I have mad, gigantic feelings,
Red and frantic feelings,
About most everything","","","","","","I Love Play Rehearsal","","""I Love Play Rehearsal"" is from Be More Chill.","","","text","song_title","lyric_excerpt","be_more_chill","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0048","general","text","Name the musical theatre song from these lyrics:

But I'd rather fake pee than stand awkwardly
Or pretend to check a text on my phone","","","","","","Michael in the Bathroom","","""Michael in the Bathroom"" is from Be More Chill.","","","text","song_title","lyric_excerpt","be_more_chill","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0049","general","text","Name the musical theatre song from these lyrics:

They can sing, they can dance
After all, Miss, this is France","","","","","","Be Our Guest","","""Be Our Guest"" is from Beauty and the Beast.","","","text","song_title","lyric_excerpt","beauty_and_the_beast","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0050","general","text","Name the musical theatre song from these lyrics:

Certain as the sun
Rising in the east","","","","","","Beauty and the Beast","","""Beauty and the Beast"" is from Beauty and the Beast.","","","text","song_title","lyric_excerpt","beauty_and_the_beast","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0051","general","text","Name the musical theatre song from these lyrics:

It's like that there's a music, playing in your ear
And I'm listening, and I'm listening, and then I disappear","","","","","","Electricity","","""Electricity"" is from Billy Elliot.","","","text","song_title","lyric_excerpt","billy_elliot","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0052","general","text","Name the musical theatre song from these lyrics:

What is wrong with dressing up in satin and lace?
Get some earrings, some mascara, heels and a fan.","","","","","","Expressing Yourself","","""Expressing Yourself"" is from Billy Elliot.","","","text","song_title","lyric_excerpt","billy_elliot","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0053","general","text","Name the musical theatre song from these lyrics:

Missed your stamping and your shouting
I have missed telling you off","","","","","","Letter","","""Letter"" is from Billy Elliot.","","","text","song_title","lyric_excerpt","billy_elliot","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0054","general","text","Name the musical theatre song from these lyrics:

Where we can begin again,
Feel we can win and then
Live just like livin' should be.","","","","","","Bright New Day","","""Bright New Day"" is from Blood Brothers.","","","text","song_title","lyric_excerpt","blood_brothers","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0055","general","text","Name the musical theatre song from these lyrics:

Living on the never never,
Constant as the changing weather","","","","","","Easy Terms","","""Easy Terms"" is from Blood Brothers.","","","text","song_title","lyric_excerpt","blood_brothers","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0056","general","text","Name the musical theatre song from these lyrics:

I'd take a page in all the papers
I'd announce it in the news
If it was the guy, if I was in his shoes","","","","","","I'm Not Saying a Word","Im Not Saying a Word","""I'm Not Saying a Word"" is from Blood Brothers.","","","text","song_title","lyric_excerpt","blood_brothers","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0057","general","text","Name the musical theatre song from these lyrics:

By the time I was twenty-five
I looked like forty-two
With seven hungry mouths to feed
And one more nearly due","","","","","","Marilyn Monroe","","""Marilyn Monroe"" is from Blood Brothers.","","","text","song_title","lyric_excerpt","blood_brothers","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0058","general","text","Name the musical theatre song from these lyrics:

Say it's just two clowns,
Who couldn't get their lines right","","","","","","Tell Me It's Not True","Tell Me Its Not True","""Tell Me It's Not True"" is from Blood Brothers.","","","text","song_title","lyric_excerpt","blood_brothers","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0059","general","text","Name the musical theatre song from these lyrics:

Put down the knitting, the book and the broom
It's time for a holiday","","","","","","Cabaret","","""Cabaret"" is from Cabaret.","","","text","song_title","lyric_excerpt","cabaret","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0060","general","text","Name the musical theatre song from these lyrics:

He will hold me fast
I'll be home at last","","","","","","Maybe this Time","","""Maybe this Time"" is from Cabaret.","","","text","song_title","lyric_excerpt","cabaret","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0061","general","text","Name the musical theatre song from these lyrics:

I've seen how you sparkle
When fall nips the air.
I know you in autumn
And I must be there.","","","","","","If Ever I Would Leave You","","""If Ever I Would Leave You"" is from Camelot.","","","text","song_title","lyric_excerpt","camelot","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0062","general","text","Name the musical theatre song from these lyrics:

Pearls and ruby rings...
Ah, how can worldly things
Take the place of honour lost?","","","","","","Glitter And Be Gay","","""Glitter And Be Gay"" is from Candide.","","","text","song_title","lyric_excerpt","candide","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0063","general","text","Name the musical theatre song from these lyrics:

Words wouldn't come in an easy way
Round in circles I'd go!","","","","","","If I Loved You","","""If I Loved You"" is from Carousel.","","","text","song_title","lyric_excerpt","carousel","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0064","general","text","Name the musical theatre song from these lyrics:

March went out like a lion
A-whippin' up the water in the bay
Then April cried and stepped aside,
And along come pretty little May!","","","","","","June Is Bustin' Out All Over","June Is Bustin Out All Over","""June Is Bustin' Out All Over"" is from Carousel.","","","text","song_title","lyric_excerpt","carousel","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0065","general","text","Name the musical theatre song from these lyrics:

At the end of the storm
Is a golden sky","","","","","","You'll Never Walk Alone","Youll Never Walk Alone","""You'll Never Walk Alone"" is from Carousel.","","","text","song_title","lyric_excerpt","carousel","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0066","general","text","Name the musical theatre song from these lyrics:

He's the cat we all greet as he walks down the street
In his coat of fastidious black","","","","","","Bustopher Jones","","""Bustopher Jones"" is from Cats.","","","text","song_title","lyric_excerpt","cats","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0067","general","text","Name the musical theatre song from these lyrics:

He's broken every human law
He breaks the law of gravity","","","","","","Macavity The Mystery Cat","","""Macavity The Mystery Cat"" is from Cats.","","","text","song_title","lyric_excerpt","cats","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0068","general","text","Name the musical theatre song from these lyrics:

Burnt out ends of smoky days
The stale, cold smell of morning","","","","","","Memory","","""Memory"" is from Cats.","","","text","song_title","lyric_excerpt","cats","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0069","general","text","Name the musical theatre song from these lyrics:

He can pick any card from a pack
He is equally cunning with dice","","","","","","Mr. Mistoffelees","Mr Mistoffelees","""Mr. Mistoffelees"" is from Cats.","","","text","song_title","lyric_excerpt","cats","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0070","general","text","Name the musical theatre song from these lyrics:

And you ask me why I love her
Through wars, death and despair","","","","","","Anthem","","""Anthem"" is from Chess.","","","text","song_title","lyric_excerpt","chess","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0071","general","text","Name the musical theatre song from these lyrics:

Wanting far too much for far too long.
Looking back I could have played it differently","","","","","","I Know Him So Well","","""I Know Him So Well"" is from Chess.","","","text","song_title","lyric_excerpt","chess","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0072","general","text","Name the musical theatre song from these lyrics:

Everybody's playing the game
But nobody's rules are the same","","","","","","Nobody's Side","Nobodys Side","""Nobody's Side"" is from Chess.","","","text","song_title","lyric_excerpt","chess","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0073","general","text","Name the musical theatre song from these lyrics:

You'll find a god in every golden cloister
And if you're lucky then the god's a she
I can feel an angel sliding up to me","","","","","","One Night in Bangkok","","""One Night in Bangkok"" is from Chess.","","","text","song_title","lyric_excerpt","chess","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0074","general","text","Name the musical theatre song from these lyrics:

It's just a noisy hall
Where there's a nightly brawl","","","","","","All That Jazz","","""All That Jazz"" is from Chicago.","","","text","song_title","lyric_excerpt","chicago","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0075","general","text","Name the musical theatre song from these lyrics:

Pop! Six! Squish! Uh uh! Cicero, Lipschitz!","","","","","","Cell Block Tango","","""Cell Block Tango"" is from Chicago.","","","text","song_title","lyric_excerpt","chicago","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0076","general","text","Name the musical theatre song from these lyrics:

If you'd have been there, if you'd have heard it
I betcha you would have done the same","","","","","","Cell Block Tango","","""Cell Block Tango"" is from Chicago.","","","text","song_title","lyric_excerpt","chicago","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0077","general","text","Name the musical theatre song from these lyrics:

Whatever happened to fair dealing?
And pure ethics?
And nice manners?","","","","","","Class","","""Class"" is from Chicago.","","","text","song_title","lyric_excerpt","chicago","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0078","general","text","Name the musical theatre song from these lyrics:

If someone in the movie show
Yelled ""Fire in the second row","","","","","","Mr. Cellophane","Mr Cellophane","""Mr. Cellophane"" is from Chicago.","","","text","song_title","lyric_excerpt","chicago","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0079","general","text","Name the musical theatre song from these lyrics:

What if your hinges all are rusting?
What if, in fact, you're just disgusting ?","","","","","","Razzle Dazzle","","""Razzle Dazzle"" is from Chicago.","","","text","song_title","lyric_excerpt","chicago","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0080","general","text","Name the musical theatre song from these lyrics:

Though my choo-choo jumped my track
I'd give my life to bring him back","","","","","","We Both Reached for the Gun","","""We Both Reached for the Gun"" is from Chicago.","","","text","song_title","lyric_excerpt","chicago","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0081","general","text","Name the musical theatre song from these lyrics:

They say that life is tit for tat
And that's the way I live","","","","","","When You're Good to Mama","When Youre Good to Mama","""When You're Good to Mama"" is from Chicago.","","","text","song_title","lyric_excerpt","chicago","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0082","general","text","Name the musical theatre song from these lyrics:

The bitch, the vixen, the queen bee, and the shrew
What men have done to those fine words, we never can undo","","","","","","The Bear, the Tiger, the Hamster and the Mole","The Bear the Tiger the Hamster and the Mole","""The Bear, the Tiger, the Hamster and the Mole"" is from Closer Than Ever.","","","text","song_title","lyric_excerpt","closer_than_ever","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0083","general","text","Name the musical theatre song from these lyrics:

So now my son's half way through college
I pay tuition like a fine","","","","","","Life Story","","""Life Story"" is from Closer Than Ever.","","","text","song_title","lyric_excerpt","closer_than_ever","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0084","general","text","Name the musical theatre song from these lyrics:

At work I'm hardly seen
I come and go
But I know something that people don't know","","","","","","Miss Byrd","","""Miss Byrd"" is from Closer Than Ever.","","","text","song_title","lyric_excerpt","closer_than_ever","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0085","general","text","Name the musical theatre song from these lyrics:

Welcome to the fog, welcome to the trees,
to the ocean and the sky, and whatever's in between.","","","","","","Welcome to the Rock","","""Welcome to the Rock"" is from Come From Away.","","","text","song_title","lyric_excerpt","come_from_away","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0086","general","text","Name the musical theatre song from these lyrics:

It's a city of strangers,
Some come to work, some to play.","","","","","","Another Hundred People","","""Another Hundred People"" is from Company.","","","text","song_title","lyric_excerpt","company","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0087","general","text","Name the musical theatre song from these lyrics:

Did you get my message? 'Cause I looked in vain.
Can we see each other Tuesday if it doesn't rain?","","","","","","Another Hundred People","","""Another Hundred People"" is from Company.","","","text","song_title","lyric_excerpt","company","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0088","general","text","Name the musical theatre song from these lyrics:

Someone you have to let in,
Someone whose feelings you spare","","","","","","Being Alive","","""Being Alive"" is from Company.","","","text","song_title","lyric_excerpt","company","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0089","general","text","Name the musical theatre song from these lyrics:

I'll always be there,
As frightened as you,
To help us survive","","","","","","Being Alive","","""Being Alive"" is from Company.","","","text","song_title","lyric_excerpt","company","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0090","general","text","Name the musical theatre song from these lyrics:

But I thank you all
For the gifts and the flowers","","","","","","Getting Married Today","","""Getting Married Today"" is from Company.","","","text","song_title","lyric_excerpt","company","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0091","general","text","Name the musical theatre song from these lyrics:

The heart sinks down and feels dead
This dreadful day.","","","","","","Getting Married Today","","""Getting Married Today"" is from Company.","","","text","song_title","lyric_excerpt","company","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0092","general","text","Name the musical theatre song from these lyrics:

Does anyone still wear a hat?","","","","","","Ladies Who Lunch","","""Ladies Who Lunch"" is from Company.","","","text","song_title","lyric_excerpt","company","",""
