item_id,answer_text,item_type,person_roles,difficulty,primary_show_key,notes,is_active,pack_names
,Naughty,song,,easy,matilda,,true,Song Titles
,When I Grow Up,song,,easy,matilda,,true,Song Titles
,Revolting Children,song,,easy,matilda,,true,Song Titles
,Quiet,song,,medium,matilda,,true,Song Titles
,Seize the Day,song,,easy,newsies,,true,Song Titles
,Santa Fe,song,,medium,newsies,,true,Song Titles
,Carrying the Banner,song,,medium,newsies,,true,Song Titles
,King of New York,song,,easy,newsies,,true,Song Titles
,"96,000",song,,easy,in_the_heights,,true,Song Titles
,Breathe,song,,medium,in_the_heights,,true,Song Titles
,Paciencia y Fe,song,,medium,in_the_heights,,true,Song Titles
,It Won't Be Long Now,song,,easy,in_the_heights,,true,Song Titles
,Tomorrow,song,,easy,annie,,true,Song Titles
,Maybe,song,,easy,annie,,true,Song Titles
,It's the Hard-Knock Life,song,,easy,annie,,true,Song Titles
,Little Girls,song,,medium,annie,,true,Song Titles
,My Favourite Things,song,,easy,the_sound_of_music,,true,Song Titles
,Do-Re-Mi,song,,easy,the_sound_of_music,,true,Song Titles
,Climb Ev'ry Mountain,song,,easy,the_sound_of_music,,true,Song Titles
,Edelweiss,song,,easy,the_sound_of_music,,true,Song Titles
