type,path,pack_name,question_id,what_to_find
audio,2026-02-24/disney-audio-022.mp3,Disney Musicals,disney-260215-232,"Friends on the Other Side (The Princess and the Frog), hook, 8 to 15 seconds."
audio,2026-02-24/disney-audio-023.mp3,Disney Musicals,disney-260215-233,"When You Wish Upon a Star (Pinocchio), chorus, 8 to 15 seconds."
audio,2026-02-24/disney-audio-024.mp3,Disney Musicals,disney-260215-234,"Kiss the Girl (The Little Mermaid), chorus, 8 to 15 seconds."
audio,2026-02-24/disney-audio-025.mp3,Disney Musicals,disney-260215-235,"Out There (The Hunchback of Notre Dame stage), chorus, 8 to 15 seconds."
image,2026-02-24/disney-image-011.jpg,Disney Musicals,disney-260215-236,"Film still from Aladdin (animated), ideally Aladdin and Jasmine on the carpet or a clear Agrabah visual."
image,2026-02-24/disney-image-012.jpg,Disney Musicals,disney-260215-237,"Film still from Mulan (animated), ideally Mulan in armour or a clear recognisable character shot."
image,2026-02-24/disney-image-013.jpg,Disney Musicals,disney-260215-238,"Film still from The Princess and the Frog, ideally Tiana or Dr Facilier in a clear recognisable shot."
image,2026-02-24/disney-image-014.jpg,Disney Musicals,disney-260215-239,"Film still from Hercules (animated), ideally the Muses, Hercules, or a clear Mount Olympus design."
image,2026-02-24/disney-image-015.jpg,Disney Musicals,disney-260215-240,"Film still from Sleeping Beauty, ideally Aurora in a clear recognisable shot or the distinctive art style."
image,2026-02-24/disney-image-016.jpg,Disney Musicals,disney-260215-241,"Film still from Pinocchio, ideally Pinocchio or Jiminy Cricket in a clear recognisable shot."
image,2026-02-24/disney-image-017.jpg,Disney Musicals,disney-260215-242,"Film still from Ratatouille, ideally Remy in the kitchen or a clear Paris kitchen visual."
image,2026-02-24/disney-image-018.jpg,Disney Musicals,disney-260215-243,"Film still from Monsters, Inc., ideally Mike and Sulley or a clear Monstropolis setting."
image,2026-02-24/disney-image-019.jpg,Disney Musicals,disney-260215-244,"Film still from Cars, ideally Lightning McQueen or Radiator Springs."
image,2026-02-24/disney-image-020.jpg,Disney Musicals,disney-260215-245,"Film still from Up, ideally the house with balloons or a clear Carl and Russell shot."
image,2026-02-24/disney-image-021.jpg,Disney Musicals,disney-260215-246,"Stage production photo from Mary Poppins, ideally Mary’s silhouette or chimney sweep staging."
image,2026-02-24/disney-image-022.jpg,Disney Musicals,disney-260215-247,"Stage production photo from The Hunchback of Notre Dame, ideally cathedral imagery or Quasimodo on the set."
image,2026-02-24/disney-image-023.jpg,Disney Musicals,disney-260215-248,"Stage production photo from Tarzan, ideally vine or jungle staging that clearly signals the show."
image,2026-02-24/disney-image-024.jpg,Disney Musicals,disney-260215-249,"Stage production photo from Aida, ideally Egyptian design motifs or the principal characters in costume."
image,2026-02-24/disney-image-025.jpg,Disney Musicals,disney-260215-250,"Stage production photo from Beauty and the Beast, ideally enchanted objects or the ballroom look."
