pack_id,pack_name,pack_round_type,pack_sort_order,question_id,question_round_type,answer_type,question_text,option_a,option_b,option_c,option_d,answer_index,answer_text,accepted_answers,explanation,audio_path,image_path
4001,"Next to Normal","mixed",4001,4001-026,"general","mcq","In the UK productions of Next to Normal (Donmar and West End), who directed the production that transferred to Wyndham’s Theatre?","Michael Longhurst","Jamie Lloyd","Marianne Elliott","Sam Mendes",0,,,,"The Donmar Warehouse UK premiere and the West End transfer were directed by Michael Longhurst.",,
4001,"Next to Normal","mixed",4001,4001-027,"general","mcq","The Next to Normal Original London Cast Recording (2025) was released by which label?","Ghostlight Records","Decca","Atlantic Records","Sony Classical",0,,,,"The Original London Cast Recording was released by Ghostlight Records.",,
4001,"Next to Normal","mixed",4001,4001-028,"general","mcq","On the Next to Normal Original London Cast Recording track list, which song comes immediately after I’m Alive?","Make Up Your Mind / Catch Me I’m Falling","There’s a World","I Dreamed a Dance","Superboy and the Invisible Girl",0,,,,"On the Original London Cast Recording, I’m Alive is followed by Make Up Your Mind / Catch Me I’m Falling.",,
4001,"Next to Normal","mixed",4001,4001-029,"general","mcq","In Next to Normal, which character sings Aftershocks?","Dr Madden","Diana","Dan","Gabe",3,,,,"Aftershocks is sung by Gabe following Diana's memory loss after ECT.",,
4001,"Next to Normal","mixed",4001,4001-030,"general","mcq","In Next to Normal (Donmar and West End), who played Natalie?","Eleanor Worthington-Cox","Lucy Anderson","Clare Foster","Dujonna Gift",0,,,,"Eleanor Worthington-Cox played Natalie in the Donmar and Wyndham’s runs.",,

4002,"Dear Evan Hansen","mixed",4002,4002-001,"general","mcq","In Dear Evan Hansen, who wrote the music and lyrics?","Benj Pasek and Justin Paul","Tim Minchin and Dennis Kelly","Tom Kitt and Brian Yorkey","Jim Barne and Kit Buchan",0,,,,"Benj Pasek and Justin Paul wrote the music and lyrics.",,
4002,"Dear Evan Hansen","mixed",4002,4002-002,"general","mcq","Who wrote the book for Dear Evan Hansen?","Steven Levenson","Lin-Manuel Miranda","Jethro Compton","Brian Yorkey",0,,,,"Steven Levenson wrote the book.",,
4002,"Dear Evan Hansen","mixed",4002,4002-003,"general","text","In the original West End cast of Dear Evan Hansen, who played Evan Hansen?",,,,,,,"Sam Tutty","[""Sam Tutty""]","Sam Tutty played Evan in the original West End cast and won the Olivier for the role.",,
4002,"Dear Evan Hansen","mixed",4002,4002-004,"general","mcq","Dear Evan Hansen opened in the West End at which theatre?","Noël Coward Theatre","Prince Edward Theatre","Wyndham’s Theatre","Criterion Theatre",0,,,,"The West End production opened at the Noël Coward Theatre.",,
4002,"Dear Evan Hansen","mixed",4002,4002-005,"general","text","In Dear Evan Hansen, what is the first name of Evan’s mother?",,,,,,,"Heidi","[""Heidi"", ""Heidi Hansen""]","Evan’s mother is Heidi Hansen.",,
4002,"Dear Evan Hansen","mixed",4002,4002-006,"general","mcq","In Dear Evan Hansen, which character is Evan’s classmate who dies early in the story?","Connor Murphy","Jared Kleinman","Alana Beck","Larry Murphy",0,,,,"Connor Murphy dies, triggering the central misunderstanding.",,
4002,"Dear Evan Hansen","mixed",4002,4002-007,"general","mcq","In Dear Evan Hansen, which song is Evan’s big early solo about feeling unseen?","Waving Through a Window","For Forever","Only Us","Requiem",0,,,,"Waving Through a Window is Evan’s early defining solo.",,
4002,"Dear Evan Hansen","mixed",4002,4002-008,"general","mcq","In the original Broadway cast of Dear Evan Hansen, who originated Evan Hansen?","Ben Platt","Andrew Barth Feldman","Jordan Fisher","Sam Tutty",0,,,,"Ben Platt originated Evan on Broadway.",,
4002,"Dear Evan Hansen","mixed",4002,4002-009,"general","mcq","In Dear Evan Hansen, which song is the trio email-writing number?","Sincerely, Me","Disappear","Good for You","To Break in a Glove",0,,,,"Sincerely, Me is the comic trio email song.",,
4002,"Dear Evan Hansen","mixed",4002,4002-010,"general","mcq","In Dear Evan Hansen, which character helps Evan write the emails and build the lie?","Jared Kleinman","Connor Murphy","Miguel","Zoe Murphy",0,,,,"Jared Kleinman helps Evan build the story.",,
4002,"Dear Evan Hansen","mixed",4002,4002-011,"general","mcq","In Dear Evan Hansen, which song is the big ensemble anthem that includes the lyric about letting the sun ‘streaming in’?","You Will Be Found","Finale","So Big / So Small","Disappear",0,,,,"You Will Be Found is the anthem-style ensemble number.",,
4002,"Dear Evan Hansen","mixed",4002,4002-012,"general","text","In Dear Evan Hansen, what is the surname of the family whose son Connor dies?",,,,,,,"Murphy","[""Murphy""]","Connor is part of the Murphy family.",,
4002,"Dear Evan Hansen","mixed",4002,4002-013,"general","mcq","In Dear Evan Hansen, which song is sung by Zoe, Cynthia, and Larry as they process grief in different ways?","Requiem","Only Us","Good for You","For Forever",0,,,,"Requiem is sung by Zoe, Cynthia, and Larry.",,
4002,"Dear Evan Hansen","mixed",4002,4002-014,"general","mcq","In Dear Evan Hansen, which song is Heidi’s solo about parenting and carrying on?","So Big / So Small","Anybody Have a Map?","Good for You","Words Fail",0,,,,"Heidi sings So Big / So Small.",,
4002,"Dear Evan Hansen","mixed",4002,4002-015,"general","text","In Dear Evan Hansen, complete the song title: To Break in a ____.",,,,,,,"Glove","[""Glove""]","The song is titled To Break in a Glove.",,
4002,"Dear Evan Hansen","mixed",4002,4002-016,"audio","mcq","Audio (Dear Evan Hansen): Identify the song from this clip.","You Will Be Found","Waving Through a Window","Words Fail","Sincerely, Me",0,,,,"Use a recognisable chorus excerpt from You Will Be Found.",2026-02-22/deh-audio-001.mp3,
4002,"Dear Evan Hansen","mixed",4002,4002-017,"audio","mcq","Audio (Dear Evan Hansen): Which song is this clip from, featuring Evan’s anxious, driving vocal line?","Waving Through a Window","For Forever","Only Us","Requiem",0,,,,"Use the main verse or chorus of Waving Through a Window.",2026-02-22/deh-audio-002.mp3,
4002,"Dear Evan Hansen","mixed",4002,4002-018,"audio","mcq","Audio (Dear Evan Hansen): Identify this song, the comic email-writing number.","Sincerely, Me","Disappear","Good for You","Finale",0,,,,"Use the hook of Sincerely, Me.",2026-02-22/deh-audio-003.mp3,
4002,"Dear Evan Hansen","mixed",4002,4002-019,"audio","mcq","Audio (Dear Evan Hansen): Which song is this clip from, where Evan sings at length about confession and collapse?","Words Fail","For Forever","To Break in a Glove","Only Us",0,,,,"Use a recognisable excerpt from Words Fail.",2026-02-22/deh-audio-004.mp3,
4002,"Dear Evan Hansen","mixed",4002,4002-020,"audio","mcq","Audio (Dear Evan Hansen): Identify the song from this clip, a duet between Evan and Zoe.","Only Us","Requiem","So Big / So Small","Disappear",0,,,,"Use a recognisable chorus excerpt from Only Us.",2026-02-22/deh-audio-005.mp3,
4002,"Dear Evan Hansen","mixed",4002,4002-021,"audio","mcq","Audio (Dear Evan Hansen): Which song is this clip from, where the characters push back on Evan in a fast ensemble?","Good for You","Disappear","Anybody Have a Map?","Finale",0,,,,"Use a recognisable excerpt from Good for You.",2026-02-22/deh-audio-006.mp3,
4002,"Dear Evan Hansen","mixed",4002,4002-022,"picture","mcq","Picture (Dear Evan Hansen): Which show does this logo belong to?","Dear Evan Hansen","Be More Chill","13","Heathers",0,,,,"Use the stage show logo artwork for Dear Evan Hansen.",,2026-02-22/deh-image-001.jpg
4002,"Dear Evan Hansen","mixed",4002,4002-023,"picture","mcq","Picture (Dear Evan Hansen): This is a West End publicity photo. Who is pictured as Evan Hansen?","Sam Tutty","Ben Platt","Andrew Barth Feldman","Jordan Fisher",0,,,,"Use a West End publicity headshot or production photo of Sam Tutty as Evan.",,2026-02-22/deh-image-002.jpg
4002,"Dear Evan Hansen","mixed",4002,4002-024,"picture","mcq","Picture (Dear Evan Hansen): This image shows a set element strongly associated with the show’s social media plot. What is it?","A projected social media feed","A revolving barricade","A giant chandelier","A train carriage",0,,,,"Use a production still featuring projected screens and social media design.",,2026-02-22/deh-image-003.jpg
4002,"Dear Evan Hansen","mixed",4002,4002-025,"picture","text","Picture (Dear Evan Hansen): This is the show’s signature prop. What item is it?",,,,,,,"A cast","[""Cast"", ""Arm cast"", ""Plaster cast"", ""Broken arm cast""]","Evan wears an arm cast, which becomes central to the story’s misunderstanding.",,2026-02-22/deh-image-004.jpg
4002,"Dear Evan Hansen","mixed",4002,4002-026,"general","mcq","In the original West End cast of Dear Evan Hansen, who played Larry Murphy?","Rupert Young","Michael Ball","John Dagleish","Christopher Biggins",0,,,,"Rupert Young played Larry Murphy in the original West End cast.",,
4002,"Dear Evan Hansen","mixed",4002,4002-027,"general","mcq","Which actor was nominated at the 2020 Olivier Awards for playing Jared Kleinman in Dear Evan Hansen?","Jack Loxton","Doug Colling","Marcus Harman","Sam Tutty",0,,,,"Jack Loxton received a 2020 Olivier nomination for playing Jared Kleinman.",,
4002,"Dear Evan Hansen","mixed",4002,4002-028,"general","mcq","In Dear Evan Hansen, what is the name of the student-led campaign created in Connor’s memory?","The Connor Project","The Murphy Foundation","The Orchard Initiative","The Founding Day Fund",0,,,,"Evan and his classmates create The Connor Project in Connor’s memory.",,
4002,"Dear Evan Hansen","mixed",4002,4002-029,"general","mcq","When the West End production of Dear Evan Hansen reopened in October 2021, who played Alana Beck (taking over from Nicole Raquel Dennis)?","Iona Fraser","Nicole Raquel Dennis","Lucy Anderson","Rebecca McKinnis",0,,,,"When the show reopened in October 2021, Iona Fraser played Alana Beck.",,
4002,"Dear Evan Hansen","mixed",4002,4002-030,"general","mcq","In Dear Evan Hansen, which character sings To Break in a Glove as a duet with Evan?","Larry Murphy","Jared Kleinman","Connor Murphy","Alana Beck",0,,,,"To Break in a Glove is sung by Larry Murphy with Evan.",,

4003,"Two Strangers (Carry a Cake Across New York)","mixed",4003,4003-001,"general","mcq","Two Strangers (Carry a Cake Across New York) has music by Jim Barne. Who wrote the book and lyrics?","Kit Buchan","Steven Levenson","Darren Clark","Brian Yorkey",0,,,,"Kit Buchan wrote the book and lyrics, with music by Jim Barne.",,
4003,"Two Strangers (Carry a Cake Across New York)","mixed",4003,4003-002,"general","text","In Two Strangers (Carry a Cake Across New York), what is the first name of the English visitor?",,,,,,,"Dougal","[""Dougal"", ""Dougal Todd""]","Dougal Todd is the Englishman visiting New York.",,
4003,"Two Strangers (Carry a Cake Across New York)","mixed",4003,4003-003,"general","text","In Two Strangers (Carry a Cake Across New York), what is the first name of the New Yorker who picks Dougal up at the airport?",,,,,,,"Robin","[""Robin"", ""Robin Rainey""]","Robin Rainey is the cynical New Yorker who picks Dougal up.",,
4003,"Two Strangers (Carry a Cake Across New York)","mixed",4003,4003-004,"general","mcq","In Two Strangers (Carry a Cake Across New York), why is Dougal travelling to New York?","For his estranged father’s wedding","For a job interview","To audition for a musical","To visit his sick mother",0,,,,"Dougal flies to New York for his estranged father’s wedding.",,
4003,"Two Strangers (Carry a Cake Across New York)","mixed",4003,4003-005,"general","mcq","Two Strangers (Carry a Cake Across New York) played off-West End in 2023 at which London theatre?","Kiln Theatre","Donmar Warehouse","Southwark Playhouse","Regent’s Park Open Air Theatre",0,,,,"The 2023 London production played at the Kiln Theatre.",,
4003,"Two Strangers (Carry a Cake Across New York)","mixed",4003,4003-006,"general","mcq","In Two Strangers (Carry a Cake Across New York) (London), who played Dougal?","Sam Tutty","John Dagleish","Jamie Parker","Jack Wolfe",0,,,,"Sam Tutty played Dougal in the London production.",,
4003,"Two Strangers (Carry a Cake Across New York)","mixed",4003,4003-007,"general","mcq","In Two Strangers (Carry a Cake Across New York) (London), who played Robin?","Dujonna Gift","Lucy Anderson","Clare Foster","Caissie Levy",0,,,,"Dujonna Gift played Robin in London.",,
4003,"Two Strangers (Carry a Cake Across New York)","mixed",4003,4003-008,"general","mcq","In Two Strangers (Carry a Cake Across New York), what item do Dougal and Robin have to collect and transport across New York for the wedding?","A wedding cake","A wedding dress","A bouquet","A ring",0,,,,"They pick up and carry the wedding cake across New York.",,
4003,"Two Strangers (Carry a Cake Across New York)","mixed",4003,4003-009,"general","mcq","In Two Strangers (Carry a Cake Across New York), which song title is a credit card brand?","American Express","Visa Nights","Mastercard Memories","Discover",0,,,,"American Express is a musical number in the show.",,
4003,"Two Strangers (Carry a Cake Across New York)","mixed",4003,4003-010,"general","mcq","In Two Strangers (Carry a Cake Across New York), which song opens Act 1 as Dougal arrives with a romanticised view of the city?","New York","On the App","This Is The Place","Dad",0,,,,"Act 1 opens with New York, sung by Dougal.",,
4003,"Two Strangers (Carry a Cake Across New York)","mixed",4003,4003-011,"general","mcq","In Two Strangers (Carry a Cake Across New York), which song title suggests app-based dating or meeting?","On the App","Be Happy","What Did You Say?","About To Go In",0,,,,"On the App is a song for Robin and Dougal.",,
4003,"Two Strangers (Carry a Cake Across New York)","mixed",4003,4003-012,"general","text","In Two Strangers (Carry a Cake Across New York), complete the Act 2 song title: The Hangover ____.",,,,,,,"Duet","[""Duet""]","The Act 2 number is titled The Hangover Duet.",,
4003,"Two Strangers (Carry a Cake Across New York)","mixed",4003,4003-013,"general","mcq","In Two Strangers (Carry a Cake Across New York), which song title sounds like a wedding ceremony reading?","Dearly Beloved","He Doesn’t Exist","This Year","Be Happy",0,,,,"Dearly Beloved appears in Act 2.",,
4003,"Two Strangers (Carry a Cake Across New York)","mixed",4003,4003-014,"general","mcq","Two Strangers (Carry a Cake Across New York) began life under an earlier title. What was it called?","The Season","The Suitcase","The Wedding Run","Across New York",0,,,,"The show was first produced as The Season.",,
4003,"Two Strangers (Carry a Cake Across New York)","mixed",4003,4003-015,"general","text","In Two Strangers (Carry a Cake Across New York), what is Robin’s surname?",,,,,,,"Rainey","[""Rainey""]","Robin’s full name is Robin Rainey.",,
4003,"Two Strangers (Carry a Cake Across New York)","mixed",4003,4003-016,"audio","mcq","Audio (Two Strangers (Carry a Cake Across New York)): Identify the song from this clip (Dougal’s opening number).","New York","Dad","This Is The Place","About To Go In",0,,,,"Use the opening hook from New York.",2026-02-22/ts-audio-001.mp3,
4003,"Two Strangers (Carry a Cake Across New York)","mixed",4003,4003-017,"audio","mcq","Audio (Two Strangers (Carry a Cake Across New York)): Which song is this clip from, featuring Robin and Dougal together on a travel sequence?","American Express","Under The Mistletoe","On the App","Dearly Beloved",0,,,,"Use a recognisable section from American Express.",2026-02-22/ts-audio-002.mp3,
4003,"Two Strangers (Carry a Cake Across New York)","mixed",4003,4003-018,"audio","mcq","Audio (Two Strangers (Carry a Cake Across New York)): Identify this song, a reflective duet near the end of the show.","If I Believed","This Year","Be Happy","What Did You Say?",0,,,,"Use a recognisable section from If I Believed.",2026-02-22/ts-audio-003.mp3,
4003,"Two Strangers (Carry a Cake Across New York)","mixed",4003,4003-019,"audio","mcq","Audio (Two Strangers (Carry a Cake Across New York)): Which song is this clip from, where Robin sings a solo about trying to be okay?","Be Happy","What’ll It Be","He Doesn’t Exist","This Year",0,,,,"Use a recognisable section from Be Happy.",2026-02-22/ts-audio-004.mp3,
4003,"Two Strangers (Carry a Cake Across New York)","mixed",4003,4003-020,"audio","mcq","Audio (Two Strangers (Carry a Cake Across New York)): Identify the song from this clip, an Act 2 duet with a comic tone.","The Hangover Duet","New York/What’ll It Be Reprise","On the App","This Is The Place",0,,,,"Use a recognisable excerpt from The Hangover Duet.",2026-02-22/ts-audio-005.mp3,
4003,"Two Strangers (Carry a Cake Across New York)","mixed",4003,4003-021,"audio","mcq","Audio (Two Strangers (Carry a Cake Across New York)): Which song is this clip from, where Dougal sings alone before the wedding moment?","About To Go In","Dad","This Is The Place (reprise)","New York",0,,,,"Use a recognisable excerpt from About To Go In.",2026-02-22/ts-audio-006.mp3,
4003,"Two Strangers (Carry a Cake Across New York)","mixed",4003,4003-022,"picture","mcq","Picture (Two Strangers (Carry a Cake Across New York)): Which show is this poster for?","Two Strangers (Carry a Cake Across New York)","Come From Away","Everybody’s Talking About Jamie","Be More Chill",0,,,,"Use the official London poster artwork for Two Strangers (Carry a Cake Across New York).",,2026-02-22/ts-image-001.jpg
4003,"Two Strangers (Carry a Cake Across New York)","mixed",4003,4003-023,"picture","mcq","Picture (Two Strangers (Carry a Cake Across New York)): The set design often features which repeating object?","Suitcases","Umbrellas","Shopping trolleys","Phone booths",0,,,,"Use a production photo showing the pile of suitcases used to create locations.",,2026-02-22/ts-image-002.jpg
4003,"Two Strangers (Carry a Cake Across New York)","mixed",4003,4003-024,"picture","text","Picture (Two Strangers (Carry a Cake Across New York)): This is a publicity photo of Robin in London. What is the actor’s name?",,,,,,,"Dujonna Gift","[""Dujonna Gift""]","Dujonna Gift played Robin in the London production.",,2026-02-22/ts-image-003.jpg
4003,"Two Strangers (Carry a Cake Across New York)","mixed",4003,4003-025,"picture","mcq","Picture (Two Strangers (Carry a Cake Across New York)): This image shows a key prop the characters transport. What is it?","A wedding cake","A suitcase","A pizza box","A bouquet",0,,,,"Use a production photo where the wedding cake is visible.",,2026-02-22/ts-image-004.jpg
4003,"Two Strangers (Carry a Cake Across New York)","mixed",4003,4003-026,"general","mcq","Two Strangers (Carry a Cake Across New York) transferred to the West End in 2024. Which theatre hosted the transfer?","Criterion Theatre","Duchess Theatre","Garrick Theatre","Savoy Theatre",0,,,,"The 2024 West End transfer played at the Criterion Theatre.",,
4003,"Two Strangers (Carry a Cake Across New York)","mixed",4003,4003-027,"general","mcq","In Two Strangers (Carry a Cake Across New York), what is Robin’s surname?","Rainey","Ramsey","Rooney","Ralston",0,,,,"Robin’s full name is Robin Rainey.",,
4003,"Two Strangers (Carry a Cake Across New York)","mixed",4003,4003-028,"general","mcq","On the Two Strangers (Carry a Cake Across New York) cast album, which two songs are swapped compared with their position in the stage show?","Dad and What’ll It Be","New York and American Express","Be Happy and He Doesn’t Exist","About To Go In and This Year",0,,,,"On the album, What’ll It Be and Dad are swapped compared with their order in the stage show.",,
4003,"Two Strangers (Carry a Cake Across New York)","mixed",4003,4003-029,"general","mcq","In Two Strangers (Carry a Cake Across New York), which Act 1 song is Robin’s solo that plays like an invitation to order a drink?","What’ll It Be","Be Happy","He Doesn’t Exist","This Year",0,,,,"What’ll It Be is Robin’s Act 1 solo.",,
4003,"Two Strangers (Carry a Cake Across New York)","mixed",4003,4003-030,"general","mcq","Under its original title The Season, the show that became Two Strangers (Carry a Cake Across New York) premiered in Ipswich at which venue?","New Wolsey Theatre","Old Vic","Menier Chocolate Factory","Royal Court Theatre",0,,,,"The show premiered in Ipswich at the New Wolsey Theatre under the title The Season.",,

4004,"The Curious Case of Benjamin Button","mixed",4004,4004-001,"general","mcq","The Curious Case of Benjamin Button musical is based on a short story by which author?","F. Scott Fitzgerald","Charles Dickens","Virginia Woolf","Daphne du Maurier",0,,,,"The musical adapts F. Scott Fitzgerald’s short story.",,
4004,"The Curious Case of Benjamin Button","mixed",4004,4004-002,"general","mcq","In The Curious Case of Benjamin Button, Benjamin experiences which unusual life pattern?","He ages in reverse","He lives the same day repeatedly","He never sleeps","He can stop time",0,,,,"Benjamin is born old and grows younger over time.",,
4004,"The Curious Case of Benjamin Button","mixed",4004,4004-003,"general","mcq","Who created The Curious Case of Benjamin Button musical (book and music)?","Jethro Compton and Darren Clark","Benj Pasek and Justin Paul","Tom Kitt and Brian Yorkey","Jim Barne and Kit Buchan",0,,,,"Jethro Compton wrote the book and co-wrote lyrics, with music and lyrics by Darren Clark.",,
4004,"The Curious Case of Benjamin Button","mixed",4004,4004-004,"general","text","In The Curious Case of Benjamin Button, what is the name of Benjamin’s love interest?",,,,,,,"Elowen","[""Elowen"", ""Elowen Keene""]","Elowen Keene is Benjamin’s love interest.",,
4004,"The Curious Case of Benjamin Button","mixed",4004,4004-005,"general","mcq","The Curious Case of Benjamin Button relocates the story to which setting?","A Cornish fishing village","A Parisian cabaret","A New York high school","A Scottish castle",0,,,,"The stage musical sets the story in a Cornish fishing village.",,
4004,"The Curious Case of Benjamin Button","mixed",4004,4004-006,"general","mcq","The Curious Case of Benjamin Button played in the West End beginning October 2024 at which London theatre?","Ambassadors Theatre","Noël Coward Theatre","Wyndham’s Theatre","Criterion Theatre",0,,,,"The West End production played at the Ambassadors Theatre.",,
4004,"The Curious Case of Benjamin Button","mixed",4004,4004-007,"general","mcq","In the West End production of The Curious Case of Benjamin Button, who played Benjamin Button?","John Dagleish","Sam Tutty","Jamie Parker","Michael Ball",0,,,,"John Dagleish played Benjamin Button in the West End run.",,
4004,"The Curious Case of Benjamin Button","mixed",4004,4004-008,"general","mcq","In the West End production of The Curious Case of Benjamin Button, who played Elowen?","Clare Foster","Caissie Levy","Lucy Anderson","Dujonna Gift",0,,,,"Clare Foster played Elowen in the West End run.",,
4004,"The Curious Case of Benjamin Button","mixed",4004,4004-009,"general","mcq","Which award did The Curious Case of Benjamin Button win at the 2025 Olivier Awards?","Best New Musical","Best Revival","Best Entertainment","Best Sound Design",0,,,,"The show won the Olivier Award for Best New Musical in 2025.",,
4004,"The Curious Case of Benjamin Button","mixed",4004,4004-010,"general","mcq","In The Curious Case of Benjamin Button, what is the pub in the Cornish village called?","The Pickled Crab","The Drunken Sailor","The Cornish Arms","The Fisherman’s Rest",0,,,,"The village pub is called The Pickled Crab.",,
4004,"The Curious Case of Benjamin Button","mixed",4004,4004-011,"general","mcq","Which composer wrote the music for The Curious Case of Benjamin Button?","Darren Clark","Jethro Compton","Benj Pasek","Tom Kitt",0,,,,"Darren Clark composed the music.",,
4004,"The Curious Case of Benjamin Button","mixed",4004,4004-012,"general","text","In which year did The Curious Case of Benjamin Button have its world premiere at Southwark Playhouse?",,,,,,,"2019","[""2019""]","The musical premiered at Southwark Playhouse in 2019.",,
