pack_id,pack_name,pack_round_type,pack_sort_order,question_id,question_round_type,answer_type,question_text,option_a,option_b,option_c,option_d,answer_index,answer_text,accepted_answers,explanation,audio_path,image_path
disney-260215,Disney Musicals,general,9999,disney-260215-014,general,mcq,The stage musical Newsies is inspired by which real event?,The 1899 New York City newsboys strike,The Great Fire of London,The Boston Tea Party,The 1929 Wall Street crash,0,The 1899 New York City newsboys strike,"[""The 1899 New York City newsboys strike"", ""Newsboys Strike of 1899"", ""Newsboys' Strike of 1899""]",Newsies draws on the Newsboys’ Strike of 1899 in New York City.,,
disney-260215,Disney Musicals,general,9999,disney-260215-015,general,mcq,"Which film includes the song ""I Just Can't Wait to Be King""?",The Lion King,Aladdin,Hercules,Moana,0,The Lion King,"[""The Lion King"", ""Lion King""]","""I Just Can't Wait to Be King"" is from The Lion King.",,
disney-260215,Disney Musicals,general,9999,disney-260215-016,general,mcq,The songs for The Princess and the Frog were written by which composer?,Randy Newman,Phil Collins,Alan Menken,Danny Elfman,0,Randy Newman,"[""Randy Newman"", ""Newman""]",Randy Newman wrote the songs for The Princess and the Frog.,,
disney-260215,Disney Musicals,general,9999,disney-260215-017,general,mcq,Who voiced and sang the role of Elsa in Frozen?,Kristen Bell,Idina Menzel,Lea Salonga,Auliʻi Cravalho,1,Idina Menzel,"[""Idina Menzel"", ""Menzel""]",Idina Menzel voices and sings Elsa.,,
disney-260215,Disney Musicals,general,9999,disney-260215-018,general,mcq,Who provided Princess Jasmine's singing voice in Aladdin (1992)?,Paige O'Hara,Lea Salonga,Jodi Benson,Ming-Na Wen,1,Lea Salonga,"[""Lea Salonga"", ""Salonga""]",Lea Salonga provided Jasmine’s singing voice.,,
disney-260215,Disney Musicals,general,9999,disney-260215-019,general,mcq,"In Moana, which song does Maui sing to boast about his achievements?",You're Welcome,How Far I'll Go,Under the Sea,Go the Distance,0,You're Welcome,"[""You're Welcome""]","""You're Welcome"" is Maui’s big boastful song.",,
disney-260215,Disney Musicals,general,9999,disney-260215-020,general,mcq,Which of these Disney shows opened on Broadway first?,The Lion King,Beauty and the Beast,Aladdin,Tarzan,1,Beauty and the Beast,"[""Beauty and the Beast"", ""Beauty & the Beast""]","Beauty and the Beast opened on Broadway in 1994, earlier than the others listed.",,
disney-260215,Disney Musicals,general,9999,disney-260215-021,general,mcq,"In The Lion King stage musical, which song appears as 'They Live in You' in Act I and later as 'He Lives in You' in Act II?",He Lives in You,Can You Feel the Love Tonight,Be Prepared,Hakuna Matata,0,He Lives in You,"[""He Lives in You"", ""They Live in You""]","The stage show uses 'They Live in You' and 'He Lives in You' as linked versions of the same song.",,
disney-260215,Disney Musicals,general,9999,disney-260215-022,general,mcq,"Who wrote the lyrics for the songs in The Little Mermaid (1989), with music by Alan Menken?",Howard Ashman,Tim Rice,Stephen Schwartz,David Zippel,0,Howard Ashman,"[""Howard Ashman"", ""Ashman""]",Howard Ashman wrote the lyrics for the film’s songs.,,
disney-260215,Disney Musicals,general,9999,disney-260215-023,general,mcq,"Which animated film includes the song ""I'll Make a Man Out of You""?",Mulan,Pocahontas,Hercules,Frozen,0,Mulan,"[""Mulan""]","""I'll Make a Man Out of You"" is from Mulan.",,
disney-260215,Disney Musicals,general,9999,disney-260215-024,general,mcq,"Which film includes the song ""A Whole New World""?",The Little Mermaid,Aladdin,Beauty and the Beast,The Lion King,1,Aladdin,"[""Aladdin""]","""A Whole New World"" is from Aladdin.",,
disney-260215,Disney Musicals,general,9999,disney-260215-025,general,mcq,"Which Disney stage musical includes both ""Gaston"" and ""Be Our Guest""?",Beauty and the Beast,Aida,Tarzan,Newsies,0,Beauty and the Beast,"[""Beauty and the Beast"", ""Beauty & the Beast""]",Both songs appear in Beauty and the Beast adaptations.,,
disney-260215,Disney Musicals,general,9999,disney-260215-026,general,mcq,"Which film includes the song ""Part of Your World""?",Moana,The Little Mermaid,Frozen,Cinderella,1,The Little Mermaid,"[""The Little Mermaid"", ""Little Mermaid""]","""Part of Your World"" is from The Little Mermaid.",,
disney-260215,Disney Musicals,general,9999,disney-260215-027,general,mcq,"Pocahontas (1995) has music by Alan Menken and lyrics by which lyricist?",Stephen Schwartz,Howard Ashman,Tim Rice,David Zippel,0,Stephen Schwartz,"[""Stephen Schwartz"", ""Schwartz""]",Stephen Schwartz wrote the lyrics for Pocahontas.,,
disney-260215,Disney Musicals,general,9999,disney-260215-028,general,mcq,Who wrote the music for The Nightmare Before Christmas (1993) and also provided Jack Skellington's singing voice?,Danny Elfman,Randy Newman,Alan Menken,Hans Zimmer,0,Danny Elfman,"[""Danny Elfman"", ""Elfman""]",Danny Elfman wrote the songs and performed Jack’s singing voice.,,
disney-260215,Disney Musicals,general,9999,disney-260215-029,general,mcq,"Which film includes the song ""Zero to Hero""?",Hercules,Tarzan,Aladdin,Frozen,0,Hercules,"[""Hercules""]","""Zero to Hero"" is a song from Hercules.",,
disney-260215,Disney Musicals,general,9999,disney-260215-030,general,mcq,"In which film would you hear the villain song ""Poor Unfortunate Souls""?",The Little Mermaid,Beauty and the Beast,The Princess and the Frog,Moana,0,The Little Mermaid,"[""The Little Mermaid"", ""Little Mermaid""]","""Poor Unfortunate Souls"" is Ursula’s song in The Little Mermaid.",,
disney-260215,Disney Musicals,general,9999,disney-260215-031,general,mcq,The city of Agrabah is the setting for which story?,Aida,Aladdin,Newsies,Frozen,1,Aladdin,"[""Aladdin""]",Agrabah is the setting of Aladdin.,,
disney-260215,Disney Musicals,general,9999,disney-260215-032,general,mcq,"In which film would you hear Scar sing ""Be Prepared""?",The Lion King,Tarzan,Hercules,Pocahontas,0,The Lion King,"[""The Lion King"", ""Lion King""]","""Be Prepared"" is from The Lion King.",,
disney-260215,Disney Musicals,general,9999,disney-260215-033,general,mcq,Which song is sung by Dr Facilier in The Princess and the Frog?,Friends on the Other Side,You're Welcome,Gaston,Under the Sea,0,Friends on the Other Side,"[""Friends on the Other Side""]","""Friends on the Other Side"" is Dr Facilier’s song.",,
disney-260215,Disney Musicals,general,9999,disney-260215-034,general,mcq,"In the stage musical Frozen, which Elsa solo in Act II explores her fear of being seen as a monster?",Let It Go,Monster,For the First Time in Forever,Love Is an Open Door,1,Monster,"[""Monster""]","""Monster"" is an Act II Elsa solo written for the stage show.",,
disney-260215,Disney Musicals,general,9999,disney-260215-035,general,mcq,"In the Broadway production of Disney's Aladdin, who originated the role of Genie?",Michael James Scott,James Monroe Iglehart,Jonathan Freeman,Josh Gad,1,James Monroe Iglehart,"[""James Monroe Iglehart"", ""Iglehart""]",James Monroe Iglehart originated the Genie on Broadway.,,
disney-260215,Disney Musicals,general,9999,disney-260215-036,general,mcq,Which of these was one of Newsies' Tony Award wins in 2012?,Best Original Score,Best Musical,Best Book of a Musical,Best Actress in a Musical,0,Best Original Score,"[""Best Original Score""]",Newsies won the Tony Award for Best Original Score.,,
disney-260215,Disney Musicals,general,9999,disney-260215-037,general,mcq,The Disney musical The Hunchback of Notre Dame features music by Alan Menken and lyrics by which lyricist?,Stephen Schwartz,Tim Rice,Howard Ashman,Jack Feldman,0,Stephen Schwartz,"[""Stephen Schwartz"", ""Schwartz""]",Stephen Schwartz wrote the lyrics for Disney’s Hunchback songs.,,
disney-260215,Disney Musicals,general,9999,disney-260215-038,general,mcq,Which of these writers is one of the credited book writers for Disney's Aida?,Linda Woolverton,Arthur Laurents,Marsha Norman,Harvey Fierstein,0,Linda Woolverton,"[""Linda Woolverton"", ""Woolverton""]","Linda Woolverton is credited as a book writer for Aida (alongside Robert Falls and David Henry Hwang).",,
disney-260215,Disney Musicals,general,9999,disney-260215-039,general,mcq,"Which film includes the song ""Go the Distance""?",Hercules,Mulan,Moana,Frozen,0,Hercules,"[""Hercules""]","""Go the Distance"" is from Hercules.",,
disney-260215,Disney Musicals,general,9999,disney-260215-040,general,mcq,"Which character leads the song ""Be Our Guest"" in Beauty and the Beast?",Lumière,Cogsworth,The Beast,Gaston,0,Lumière,"[""Lumière"", ""Lumiere""]","Lumière leads ""Be Our Guest"".",,
disney-260215,Disney Musicals,general,9999,disney-260215-041,general,text,Name the Sherman Brothers (first and last names).,,,,,,Richard M. Sherman and Robert B. Sherman,"[""Richard Sherman and Robert Sherman"", ""Robert Sherman and Richard Sherman"", ""Richard M. Sherman and Robert B. Sherman"", ""Robert B. Sherman and Richard M. Sherman"", ""The Sherman Brothers""]",They are the brothers who wrote the songs for Mary Poppins (1964).,,
disney-260215,Disney Musicals,general,9999,disney-260215-042,general,text,Who wrote the lyrics for the stage musical Newsies?,,,,,,Jack Feldman,"[""Jack Feldman"", ""Feldman""]","Jack Feldman wrote the lyrics, with music by Alan Menken.",,
disney-260215,Disney Musicals,general,9999,disney-260215-043,general,text,"In Aida, what is the name of the Egyptian princess who becomes Aida's rival and friend?",,,,,,Amneris,"[""Amneris""]",Amneris is the Egyptian princess in Disney’s Aida.,,
disney-260215,Disney Musicals,general,9999,disney-260215-044,general,text,"In Frozen, what is the name of the kingdom where the story is set?",,,,,,Arendelle,"[""Arendelle""]",Arendelle is the kingdom in Frozen.,,
disney-260215,Disney Musicals,general,9999,disney-260215-045,general,text,What is the title of Frozen's Academy Award winning song (Best Original Song)?,,,,,,Let It Go,"[""Let It Go"", ""Let It Go (Frozen)""]","""Let It Go"" won the Academy Award for Best Original Song.",,
disney-260215,Disney Musicals,general,9999,disney-260215-046,general,text,Who wrote the lyrics for the film songs in The Lion King (1994)?,,,,,,Tim Rice,"[""Tim Rice"", ""Rice""]",Tim Rice wrote the lyrics for the film’s songs.,,
disney-260215,Disney Musicals,general,9999,disney-260215-047,general,text,What is the opening number of The Lion King stage musical?,,,,,,Circle of Life,"[""Circle of Life"", ""The Circle of Life""]","""Circle of Life"" opens the stage show.",,
disney-260215,Disney Musicals,general,9999,disney-260215-048,general,text,"What is the title of Moana's big ""edge of the water"" song?",,,,,,How Far I'll Go,"[""How Far I'll Go"", ""How Far I'll Go (Moana)""]","""How Far I'll Go"" is Moana’s key solo.",,
disney-260215,Disney Musicals,general,9999,disney-260215-049,general,text,Who wrote the music for the songs in Mulan (1998)?,,,,,,Matthew Wilder,"[""Matthew Wilder"", ""Wilder""]","Matthew Wilder wrote the music for Mulan’s songs (with lyrics by David Zippel).",,
disney-260215,Disney Musicals,general,9999,disney-260215-050,general,text,Who wrote the book for the stage musical Tarzan?,,,,,,David Henry Hwang,"[""David Henry Hwang"", ""Hwang""]","David Henry Hwang wrote the book for Tarzan (musical).",,
