pack_id,pack_name,pack_round_type,pack_sort_order,question_id,question_round_type,answer_type,question_text,option_a,option_b,option_c,option_d,answer_index,answer_text,accepted_answers,explanation,audio_path,image_path
disney-260215,"Disney Musicals","general",9999,disney-260215-076,general,mcq,"In Moana, what is the name of the demigod who joins Moana?","Maui","Hercules","Merlin","Kuzco",0,,,"Moana teams up with Maui.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-077,general,mcq,"Which Disney film features the song You’re Welcome?","Moana","Aladdin","Hercules","The Lion King",0,,,"Maui sings ""You’re Welcome"" in Moana.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-078,general,mcq,"In The Little Mermaid, what is the name of Ariel’s fish friend?","Flounder","Sebastian","Scuttle","Max",0,,,"Ariel’s fish friend is Flounder.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-079,general,mcq,"In The Little Mermaid, what is the name of the crab who serves King Triton?","Sebastian","Scuttle","Flotsam","Jetsam",0,,,"Sebastian is King Triton’s court composer.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-080,general,mcq,"In Tangled, what is Rapunzel’s chameleon called?","Pascal","Maximus","Archimedes","Louis",0,,,"Rapunzel’s chameleon is Pascal.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-081,general,mcq,"In Tangled, what is the name of Flynn Rider’s horse?","Maximus","Khan","Phillipe","Angus",0,,,"The horse is Maximus.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-082,general,mcq,"Which Disney film features the song At Last I See the Light?","Tangled","The Princess and the Frog","Frozen","Brave",0,,,"The duet is from Tangled.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-083,general,mcq,"In The Lion King, what is the name of Simba’s mother?","Sarabi","Shenzi","Sarafina","Nala",0,,,"Simba’s mother is Sarabi.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-084,general,mcq,"In The Lion King, what is the name of Nala’s mother?","Sarafina","Sarabi","Zira","Kiara",0,,,"Nala’s mother is Sarafina.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-085,general,mcq,"Which Disney film features the song Be Prepared?","The Lion King","Hercules","Aladdin","Pocahontas",0,,,"Scar sings ""Be Prepared"" in The Lion King.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-086,general,mcq,"In Pocahontas (1995), which character sings Colours of the Wind?","Pocahontas","John Smith","Governor Ratcliffe","Grandmother Willow",0,,,"Pocahontas sings ""Colours of the Wind"".",,
disney-260215,"Disney Musicals","general",9999,disney-260215-087,general,mcq,"Which Disney film features the song Once Upon a Dream?","Sleeping Beauty","Cinderella (1950)","Snow White","Tangled",0,,,"""Once Upon a Dream"" is from Sleeping Beauty.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-088,general,mcq,"Which Disney film features the song Bibbidi-Bobbidi-Boo?","Cinderella (1950)","Sleeping Beauty","Beauty and the Beast","Frozen",0,,,"The Fairy Godmother sings it in Cinderella.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-089,general,mcq,"In Mary Poppins (1964), which song is sung with the line about a spoonful of sugar?","A Spoonful of Sugar","Feed the Birds","Supercalifragilisticexpialidocious","Chim Chim Cher-ee",0,,,"The song is ""A Spoonful of Sugar"".",,
disney-260215,"Disney Musicals","general",9999,disney-260215-090,general,mcq,"Mary Poppins Returns (2018) features songs by which duo?","Lin-Manuel Miranda and Alan Menken","Marc Shaiman and Scott Wittman","Kristen Anderson-Lopez and Robert Lopez","Benj Pasek and Justin Paul",1,,,"The sequel’s songs are by Marc Shaiman and Scott Wittman.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-091,general,mcq,"Which Disney stage musical is based on the 2003 film about a family switching bodies?","Freaky Friday","High School Musical","Camp Rock","Descendants",0,,,"Disney’s stage musical Freaky Friday is based on the 2003 film.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-092,general,mcq,"In Freaky Friday (stage), what is the surname of the central mother and daughter?","Coleman","Madrigal","Hansen","Morris",0,,,"Ellie and Katherine Coleman are the central pair in Freaky Friday.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-093,general,mcq,"Which Disney Channel film introduced the song This Is Me?","Camp Rock","High School Musical","Descendants","Teen Beach Movie",0,,,"""This Is Me"" appears in Camp Rock.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-094,general,mcq,"Which Disney Channel film introduced the song We’re All in This Together?","High School Musical","Camp Rock","Descendants","Halloweentown",0,,,"The song is from High School Musical.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-095,general,mcq,"In High School Musical, what is the name of the school?","East High School","West High School","North Ridge High","Bayview High",0,,,"The film is set at East High School.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-096,general,mcq,"In High School Musical, what sport does Troy play?","Basketball","Football","Baseball","Ice hockey",0,,,"Troy Bolton plays basketball.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-097,general,mcq,"Which Disney film features the song You’ve Got a Friend in Me?","Toy Story","Coco","Cars","Monsters, Inc.",0,,,"""You’ve Got a Friend in Me"" is from Toy Story.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-098,general,mcq,"In Toy Story, who sings You’ve Got a Friend in Me?","Randy Newman","Phil Collins","Danny Elfman","Elton John",0,,,"Randy Newman performs the song.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-099,general,mcq,"Which Disney film features the song If I Didn’t Have You?","Monsters, Inc.","Toy Story","Finding Nemo","Up",0,,,"The song appears in Monsters, Inc.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-100,general,mcq,"Which Disney film features the song You’ll Be in My Heart?","Tarzan","The Lion King","Mulan","Hercules",0,,,"Phil Collins wrote and performed it for Tarzan.",,

disney-260215,"Disney Musicals","general",9999,disney-260215-101,general,mcq,"In Tarzan (stage), who wrote both music and lyrics?","Phil Collins","Alan Menken","Elton John","Randy Newman",0,,,"Phil Collins wrote the score for the stage version.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-102,general,mcq,"In The Lion King (stage), who directed the original Broadway production?","Julie Taymor","Susan Stroman","Casey Nicholaw","Bartlett Sher",0,,,"Julie Taymor directed the original Broadway production.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-103,general,mcq,"Which Disney stage musical features the song Shadowland?","The Lion King","Frozen","Aladdin","Beauty and the Beast",0,,,"""Shadowland"" appears in the stage version of The Lion King.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-104,general,mcq,"In Frozen (stage), which song is an Act 2 solo for Elsa written for the musical rather than the film?","Monster","Let It Go","For the First Time in Forever","Do You Want to Build a Snowman?",0,,,"""Monster"" was written for the stage musical.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-105,general,mcq,"In Aladdin (stage), which character sings the comedy song Babkak, Omar, Aladdin, Kassim?","The Genie","Aladdin","The three friends","Jafar",2,,,"Aladdin’s friends sing that number with him.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-106,general,mcq,"Which Disney stage musical includes a song called Made of Stone?","The Hunchback of Notre Dame","Aida","Beauty and the Beast","Newsies",0,,,"""Made of Stone"" is from The Hunchback of Notre Dame stage version.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-107,general,mcq,"In The Hunchback of Notre Dame (stage), which role sings Out There?","Quasimodo","Phoebus","Clopin","Frollo",0,,,"Quasimodo sings ""Out There"".",,
disney-260215,"Disney Musicals","general",9999,disney-260215-108,general,mcq,"Which Disney stage musical is set in Paris and centres on Notre Dame Cathedral?","Aida","The Hunchback of Notre Dame","Beauty and the Beast","The Lion King",1,,,"The stage show is The Hunchback of Notre Dame.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-109,general,mcq,"In Aida (stage), who wrote the lyrics?","Tim Rice","Stephen Schwartz","Howard Ashman","David Zippel",0,,,"Tim Rice wrote the lyrics for Aida.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-110,general,mcq,"In Aida (stage), what is the name of the Egyptian captain who loves Aida?","Radames","Ramses","Phoebus","Shang",0,,,"The captain is Radames.",,

disney-260215,"Disney Musicals","general",9999,disney-260215-111,general,mcq,"Which Disney film features the song Circle of Life?","The Lion King","Tarzan","Hercules","Frozen",0,,,"The opening song is from The Lion King.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-112,general,mcq,"Which Disney film features the song Can You Feel the Love Tonight?","The Lion King","Beauty and the Beast","Aladdin","Pocahontas",0,,,"It is from The Lion King.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-113,general,mcq,"In Beauty and the Beast, which character sings Gaston?","Gaston","LeFou","Maurice","Lumière",0,,,"Gaston leads his own villain song.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-114,general,mcq,"In Beauty and the Beast, what is the name of Belle’s father?","Maurice","Phillipe","Henri","Georges",0,,,"Belle’s father is Maurice.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-115,general,mcq,"Which Disney film features the song Beauty and the Beast?","Beauty and the Beast","Cinderella (1950)","Frozen","Tangled",0,,,"The title song is from Beauty and the Beast.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-116,general,mcq,"In The Little Mermaid, what is the name of Ursula’s eels?","Flotsam and Jetsam","Pain and Panic","Timon and Pumbaa","Sven and Olaf",0,,,"Ursula’s eels are Flotsam and Jetsam.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-117,general,mcq,"Which Disney film features the song Poor Unfortunate Souls?","The Little Mermaid","The Princess and the Frog","Beauty and the Beast","Moana",0,,,"Ursula sings it in The Little Mermaid.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-118,general,mcq,"In Frozen, who voices Anna?","Kristen Bell","Idina Menzel","Evan Rachel Wood","Mandy Moore",0,,,"Anna is voiced by Kristen Bell.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-119,general,mcq,"In Frozen, who voices Kristoff?","Jonathan Groff","Josh Gad","Idina Menzel","Zachary Levi",0,,,"Kristoff is voiced by Jonathan Groff.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-120,general,mcq,"Which Disney film features the song Love Is an Open Door?","Frozen","Tangled","Moana","Encanto",0,,,"The duet is from Frozen.",,

disney-260215,"Disney Musicals","general",9999,disney-260215-121,general,mcq,"In The Princess and the Frog, what is the name of the prince?","Naveen","Eric","Phillip","Adam",0,,,"The prince is Naveen.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-122,general,mcq,"In The Princess and the Frog, what is the name of the alligator who loves jazz?","Louis","Ray","Pascal","Sebastian",0,,,"Louis is the trumpet-playing alligator.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-123,general,mcq,"Which Disney film features the song Almost There?","The Princess and the Frog","Moana","Frozen","Cinderella (1950)",0,,,"Tiana sings it in The Princess and the Frog.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-124,general,mcq,"Which Disney film features the song Dig a Little Deeper?","The Princess and the Frog","Hercules","Mulan","Tangled",0,,,"Mama Odie sings it in The Princess and the Frog.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-125,general,mcq,"Which Disney film features the song Let It Go?","Frozen","Moana","Encanto","Tangled",0,,,"Elsa sings it in Frozen.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-126,general,mcq,"Which Disney film features the song How Far I’ll Go?","Moana","Mulan","Pocahontas","The Little Mermaid",0,,,"Moana sings it in Moana.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-127,general,mcq,"Which Disney film features the song You Can Fly?","Peter Pan","Dumbo","Pinocchio","Bambi",0,,,"The song is from Peter Pan.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-128,general,mcq,"Which Disney film features the song When You Wish Upon a Star?","Pinocchio","Cinderella (1950)","Snow White","Sleeping Beauty",0,,,"The song is from Pinocchio.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-129,general,mcq,"Which Disney film features the song Heigh-Ho?","Snow White and the Seven Dwarfs","Cinderella (1950)","The Little Mermaid","Beauty and the Beast",0,,,"The dwarfs sing it in Snow White.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-130,general,mcq,"Which Disney film features the song Be Our Guest?","Beauty and the Beast","The Little Mermaid","Aladdin","Hercules",0,,,"Lumière sings it in Beauty and the Beast.",,

disney-260215,"Disney Musicals","general",9999,disney-260215-131,general,mcq,"In Beauty and the Beast, who voices the Beast?","Robby Benson","Richard White","Scott Weinger","Tony Jay",0,,,"The Beast is voiced by Robby Benson.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-132,general,mcq,"In Aladdin (1992), who voices the Genie?","Robin Williams","Eddie Murphy","Billy Crystal","John Goodman",0,,,"The Genie is voiced by Robin Williams.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-133,general,mcq,"In The Little Mermaid (1989), who voices Ariel?","Jodi Benson","Paige O’Hara","Lea Salonga","Ming-Na Wen",0,,,"Ariel is voiced by Jodi Benson.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-134,general,mcq,"In The Lion King (1994), who voices Mufasa?","James Earl Jones","Keith David","Patrick Stewart","Liam Neeson",0,,,"Mufasa is voiced by James Earl Jones.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-135,general,mcq,"In Mulan (1998), who provides Mulan’s singing voice?","Lea Salonga","Idina Menzel","Jodi Benson","Auliʻi Cravalho",0,,,"Lea Salonga provides Mulan’s singing voice.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-136,general,mcq,"Which Disney film features the song Go the Distance?","Hercules","Tarzan","The Lion King","Moana",0,,,"The hero ballad is from Hercules.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-137,general,mcq,"Which Disney film features the song Zero to Hero?","Hercules","Aladdin","Mulan","Frozen",0,,,"The song is from Hercules.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-138,general,mcq,"In Hercules, who are the gospel-style narrators who sing several numbers?","The Muses","The Fates","The Graces","The Sirens",0,,,"The Muses narrate and sing throughout Hercules.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-139,general,mcq,"Which Disney film features the song A Whole New World?","Aladdin","The Little Mermaid","Beauty and the Beast","The Lion King",0,,,"The duet is from Aladdin.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-140,general,mcq,"Which Disney film features the song One Jump Ahead?","Aladdin","Hercules","Mulan","Tangled",0,,,"Aladdin sings ""One Jump Ahead"".",,

disney-260215,"Disney Musicals","general",9999,disney-260215-141,general,mcq,"Which Disney stage musical features the song Let the Sun Shine On?","Frozen","Aladdin","The Lion King","Beauty and the Beast",0,,,"The stage score for Frozen includes ""Let the Sun Shine On"".",,
disney-260215,"Disney Musicals","general",9999,disney-260215-142,general,mcq,"Which Disney stage musical features the song Hygge?","Frozen","Beauty and the Beast","Aladdin","Newsies",0,,,"Frozen (stage) includes a comic number titled ""Hygge"".",,
disney-260215,"Disney Musicals","general",9999,disney-260215-143,general,mcq,"Which Disney stage musical includes the song If Only?","The Little Mermaid","Aladdin","The Lion King","Newsies",1,,,"Aladdin (stage) uses a quartet called ""If Only"".",,
disney-260215,"Disney Musicals","general",9999,disney-260215-144,general,mcq,"Which Disney stage musical includes the song These Palace Walls?","Aladdin","Frozen","Aida","Beauty and the Beast",0,,,"Jasmine sings ""These Palace Walls"" in Aladdin (stage).",,
disney-260215,"Disney Musicals","general",9999,disney-260215-145,general,mcq,"Which Disney stage musical includes the song Home (from the stage score)?","Beauty and the Beast","Frozen","The Lion King","Newsies",0,,,"Belle sings ""Home"" in Beauty and the Beast (stage).",,
disney-260215,"Disney Musicals","general",9999,disney-260215-146,general,mcq,"In Beauty and the Beast (stage), which song is a trio for the enchanted objects about showing hospitality?","Be Our Guest","Human Again","Gaston","Belle (Reprise)",0,,,"""Be Our Guest"" is the hospitality showpiece.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-147,general,mcq,"In The Little Mermaid (stage), which character sings Sweet Child?","Ursula","King Triton","Sebastian","Ariel",1,,,"King Triton sings ""Sweet Child"" in the stage musical.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-148,general,mcq,"In The Little Mermaid (stage), which song is a trio led by Ursula to persuade Ariel?","Poor Unfortunate Souls","Daddy’s Little Angel","She’s in Love","Kiss the Girl",1,,,"Ursula leads ""Daddy’s Little Angel"" in the stage version.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-149,general,mcq,"In Newsies (stage), what is the name of Jack’s best friend?","Crutchie","Davey","Les","Spot",0,,,"Jack’s closest friend is Crutchie.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-150,general,mcq,"In Newsies (stage), which character is the smart newsie who writes and reads well?","Davey","Crutchie","Racetrack","Mush",0,,,"Davey is the educated newsie who joins the boys.",,

disney-260215,"Disney Musicals","general",9999,disney-260215-151,general,mcq,"In Newsies, what is the name of Davey’s younger brother?","Les","Spot","Mush","Romeo",0,,,"Davey’s younger brother is Les.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-152,general,mcq,"In Newsies, which newspaper owner is the main antagonist?","Joseph Pulitzer","William Randolph Hearst","Charles Foster Kane","P. T. Barnum",0,,,"Pulitzer is the powerful newspaper owner in Newsies.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-153,general,mcq,"Which Disney stage musical includes the number King of New York?","Newsies","Aladdin","Frozen","The Lion King",0,,,"The song is from Newsies.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-154,general,mcq,"In The Lion King (stage), what are the names of the three hyenas?","Shenzi, Banzai, Ed","Flotsam, Jetsam, Scuttle","Pain, Panic, Pegasus","Timon, Pumbaa, Zazu",0,,,"The hyenas are Shenzi, Banzai, and Ed.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-155,general,mcq,"Which Disney film features the song Hakuna Matata?","The Lion King","Aladdin","Tarzan","Hercules",0,,,"Timon and Pumbaa sing it in The Lion King.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-156,general,mcq,"Which Disney film features the song I Just Can’t Wait to Be King?","The Lion King","Moana","Mulan","Frozen",0,,,"It is from The Lion King.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-157,general,mcq,"Which Disney film features the song Kiss the Girl?","The Little Mermaid","Beauty and the Beast","Aladdin","Tangled",0,,,"Sebastian sings it in The Little Mermaid.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-158,general,mcq,"In The Little Mermaid, who sings Kiss the Girl?","Sebastian","Ariel","Eric","Scuttle",0,,,"Sebastian leads the romantic number.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-159,general,mcq,"Which Disney film features the song Arabian Nights?","Aladdin","Hercules","Mulan","Moana",0,,,"The opening song is from Aladdin.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-160,general,mcq,"In Aladdin (1992), who is Princess Jasmine’s pet?","Rajah","Abu","Iago","Pascal",0,,,"Jasmine’s pet tiger is Rajah.",,

disney-260215,"Disney Musicals","general",9999,disney-260215-161,general,mcq,"Which Disney film features the song You’ve Got a Friend in Me?","Toy Story","Monsters, Inc.","Coco","Up",0,,,"The song appears in Toy Story.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-162,general,mcq,"Which Disney film features the song Life Is a Highway?","Cars","Toy Story","Coco","Finding Nemo",0,,,"The song appears in Cars.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-163,general,mcq,"Which Disney film features the song Le Festin?","Ratatouille","Up","Toy Story","Cars",0,,,"The song appears in Ratatouille.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-164,general,mcq,"In Ratatouille, what is the rat’s name?","Remy","Emile","Gusteau","Linguini",0,,,"The main rat is Remy.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-165,general,mcq,"In The Incredibles, which composer wrote the score?","Michael Giacchino","Hans Zimmer","John Williams","Alan Menken",0,,,"Michael Giacchino composed the score.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-166,general,mcq,"Which Disney film features the song You’ve Got a Friend in Me, performed by Randy Newman?","Toy Story","Monsters, Inc.","Cars","Up",0,,,"Randy Newman performs it for Toy Story.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-167,general,mcq,"Which Disney film features the song Remember Me?","Coco","Encanto","Moana","Frozen",0,,,"It is from Coco.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-168,general,mcq,"In Encanto, which character’s gift is super strength?","Luisa","Isabela","Bruno","Pepa",0,,,"Luisa has super strength.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-169,general,mcq,"In Encanto, which character can control the weather with emotions?","Pepa","Julieta","Isabela","Camilo",0,,,"Pepa’s emotions affect the weather.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-170,general,mcq,"In Encanto, which character can shape-shift?","Camilo","Bruno","Antonio","Félix",0,,,"Camilo can shape-shift.",,

disney-260215,"Disney Musicals","general",9999,disney-260215-171,general,mcq,"Which Disney film features the song We Don’t Talk About Bruno?","Encanto","Coco","Frozen","Moana",0,,,"The ensemble song is from Encanto.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-172,general,mcq,"Which Disney film features the song Into the Unknown?","Frozen II","Frozen","Tangled","Moana",0,,,"Elsa sings it in Frozen II.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-173,general,mcq,"Which Disney film features the song Show Yourself?","Frozen II","Frozen","The Little Mermaid","Encanto",0,,,"Elsa sings it in Frozen II.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-174,general,mcq,"In Frozen II, what is the name of the water spirit?","Nokk","Bruni","Gale","Kaya",0,,,"The water spirit is the Nokk.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-175,general,mcq,"In Frozen II, what is the name of the fire spirit?","Bruni","Nokk","Gale","Earth Giants",0,,,"The fire spirit is Bruni.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-176,general,mcq,"Which Disney film features the song Let It Go, sung by Elsa?","Frozen","Frozen II","Encanto","Moana",0,,,"It is from Frozen.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-177,general,mcq,"Which Disney film features the song You’ll Be in My Heart?","Tarzan","The Lion King","Hercules","Aladdin",0,,,"It is from Tarzan.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-178,general,mcq,"Which Disney film features the song Strangers Like Me?","Tarzan","Mulan","Hercules","Moana",0,,,"It is from Tarzan.",,
