# Media manifest for pack: Sondheim
pack_id: 30fea284-d5bf-4e89-9bc6-2448d319ad83

## Audio (20)
path | question_id | show | clip you need
2026-02-17/pic-001.png | 4e89-4b2d-9f0c-01b4d81d4d89-1b0f77d4 | Assassins | Official poster/logo for Assassins. Keep the title readable.
2026-02-17/pic-002.png | 10b2-47b5-a4f0-7f0d51c4c9c2-6a9f3f5e | Sunday in the Park with George | Official poster/logo or Playbill cover for Sunday in the Park with George.
2026-02-17/pic-003.png | 5d79-4a0f-a2b3-bb7c7a1a5a0b-8ac7a2b5 | Into the Woods | A clear production photo showing a recognisable Into the Woods set or costumes (avoid an image with the title printed on it).
2026-02-17/pic-004.png | 67c1-45a0-a5f0-2d9f2c8d0aaf-8a6e3c7d | Company | Official Company poster/logo (any production). Keep title readable if included.
2026-02-17/pic-005.png | 4f7c-4a0a-8f5e-0a2c7b5d3a1e-8a2b9d3f | Sweeney Todd | A clear image of the Sweeney Todd barber shop/pie shop set, or an official poster.
2026-02-17/pic-006.png | 2f7c-4c8d-8b11-7c6a4a809cb9-3f3b3d5b | Sweeney Todd | Photo of Angela Lansbury as Mrs Lovett (original Broadway production). Crop to keep her face clear.
2026-02-17/pic-007.png | 3c22-9de6-4a4d-9bcb-0b0f2d7f47e7-2b7f47e7 | Pacific Overtures | Official Pacific Overtures poster/logo. Keep title readable.
2026-02-17/pic-008.png | 25b8-4fd4-934b-1edbfa3a0a2b-29b1f44a | Into the Woods | Photo of Bernadette Peters as the Witch (original Broadway production). Crop to keep her face clear.
2026-02-17/pic-009.png | f258-46f9-9eb6-4c91b04f3c6d-7d2dd291 | Follies | Official Follies poster/logo (any major production). Keep title readable.
2026-02-17/pic-010.png | 04fc-4f5f-b0f1-772bd5dd585f-1d73d6fa | Sunday in the Park with George | Photo of Mandy Patinkin in Sunday in the Park with George (original Broadway). Crop to keep his face clear.
